sex,age,reason,c_birth,time\geo	BE 	DE 	IE 	EL 	ES 	FR 	IT 	CY 	LT 	LU 	NL 	AT 	PT 	SE 	UK 	NO 	CH 
F,Y15-24,EDUC,EU27_FOR,2008	38 u	: 	7 	37 u	11 u	: u	: c	: c	: 	: 	60 	40 u	: c	: c	22 	: 	23 u
F,Y15-24,EDUC,FOR,2008	23 u	: u	12 	12 u	8 	: u	5 u	: c	: 	: c	40 	21 u	: u	: u	31 	: c	18 u
F,Y15-24,EDUC,NEU_HDI_H,2008	: c	: 	36 u	: c	12 	: u	: u	: 	: 	: 	: c	: c	: c	: c	52 	: c	: u
F,Y15-24,EDUC,NEU_HDI_L,2008	: c	: 	: u	: 	: 	: u	: c	: 	: 	: 	: c	: 	: c	: c	: u	: 	: c
F,Y15-24,EDUC,NEU_HDI_M,2008	: 	: 	: u	: 	: c	: u	: c	: c	: 	: 	: c	: 	: u	: 	53 	: 	: c
F,Y15-24,EDUC,NEU_NHDI,2008	: c	: 	: 	: 	: 	: 	: 	: 	: 	: c	100 u	: 	: 	: 	: 	: 	: 
F,Y15-24,EDUC,NRP,2008	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,Y15-24,FAM,EU27_FOR,2008	: u	: 	19 	: u	47 	: u	67 	: u	: 	42 u	27 u	: u	: c	: u	12 u	: c	29 u
F,Y15-24,FAM,FOR,2008	53 	36 	20 	52 	58 	: u	71 	40 	: 	47 u	42 	55 	63 	79 	31 	35 u	56 
F,Y15-24,FAM,NEU_HDI_H,2008	: u	: 	: u	66 	56 	: u	76 	63 u	: 	: 	72 u	69 	: u	: u	34 u	58 u	78 
F,Y15-24,FAM,NEU_HDI_L,2008	: u	: 	: u	: 	: c	: u	78 u	: 	: 	: 	: u	: c	: u	: u	60 	: c	: u
F,Y15-24,FAM,NEU_HDI_M,2008	100 u	: 	: u	: c	67 	: u	64 	: c	: 	: c	67 u	: c	: u	: u	35 u	: c	: u
F,Y15-24,FAM,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	: u	: 	: 	: 	: 	: 	: c	: c	: c	: 	: 
F,Y15-24,FAM,NRP,2008	: 	36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 
F,Y15-24,INTPRO,EU27_FOR,2008	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,Y15-24,INTPRO,FOR,2008	: c	: u	: c	: c	: 	: c	: 	: c	: 	: 	: u	: u	: 	: u	: u	47 u	: u
F,Y15-24,INTPRO,NEU_HDI_H,2008	: c	: 	: 	: c	: 	: c	: 	: c	: 	: 	: 	: c	: 	: c	: 	: c	: c
F,Y15-24,INTPRO,NEU_HDI_L,2008	: 	: 	: c	: 	: 	: c	: 	: 	: 	: 	: u	: 	: 	: c	: u	: c	: c
F,Y15-24,INTPRO,NEU_HDI_M,2008	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: c	: 	: 	: 	: c	: c	: 
F,Y15-24,INTPRO,NEU_NHDI,2008	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: c	: c	: c	: c
F,Y15-24,INTPRO,NRP,2008	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,Y15-24,OTH,EU27_FOR,2008	: u	: 	9 	: c	7 u	: 	: c	: 	: 	38 u	: c	: c	: c	: c	12 u	: 	21 u
F,Y15-24,OTH,FOR,2008	: u	: u	9 	: u	5 	: c	4 u	: 	: 	32 u	8 u	: u	: c	: u	8 	: c	12 u
F,Y15-24,OTH,NEU_HDI_H,2008	: 	: 	: c	: c	6 u	: c	: c	: 	: 	: 	: u	: c	: 	: c	: u	: 	: u
F,Y15-24,OTH,NEU_HDI_L,2008	: c	: 	: c	: c	: 	: 	: 	: 	: 	: 	: c	: 	: 	: c	: c	: 	: c
F,Y15-24,OTH,NEU_HDI_M,2008	: 	: 	: c	: 	: c	: 	: c	: 	: 	: 	: u	: c	: 	: 	: c	: c	: c
F,Y15-24,OTH,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,Y15-24,OTH,NRP,2008	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,Y15-24,WRK_JOB,EU27_FOR,2008	: u	: 	14 	: c	: c	: 	: c	: c	: 	: c	: c	: u	: c	: c	15 u	: c	: u
F,Y15-24,WRK_JOB,FOR,2008	: u	: u	13 	: c	5 	: 	4 u	35 u	: 	: c	: c	: u	: c	: c	7 	: c	: u
F,Y15-24,WRK_JOB,NEU_HDI_H,2008	: 	: 	: u	: c	: c	: 	: c	: u	: 	: 	: c	: c	: c	: 	: 	: c	: 
F,Y15-24,WRK_JOB,NEU_HDI_L,2008	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 
F,Y15-24,WRK_JOB,NEU_HDI_M,2008	: 	: 	: c	: 	7 u	: 	: u	66 u	: 	: 	: c	: 	: 	: 	: c	: 	: c
F,Y15-24,WRK_JOB,NEU_NHDI,2008	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,Y15-24,WRK_JOB,NRP,2008	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,Y15-24,WRK_NJOB,EU27_FOR,2008	: c	: 	52 	33 u	31 	: c	21 u	: u	: 	: c	: c	: c	: c	: 	39 	: c	: u
F,Y15-24,WRK_NJOB,FOR,2008	: c	: c	46 	28 	24 	: c	15 	13 u	: 	: c	: c	: c	: u	: 	20 	: c	: u
F,Y15-24,WRK_NJOB,NEU_HDI_H,2008	: 	: 	: u	27 u	22 	: 	14 u	: c	: 	: 	: 	: 	: u	: 	: c	: 	: c
F,Y15-24,WRK_NJOB,NEU_HDI_L,2008	: 	: 	: c	: 	: 	: c	: c	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
F,Y15-24,WRK_NJOB,NEU_HDI_M,2008	: 	: 	: c	: 	20 	: 	16 u	: 	: 	: 	: c	: 	: c	: 	: c	: 	: 
F,Y15-24,WRK_NJOB,NRP,2008	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,Y15-64,EDUC,EU27_FOR,2008	7 	: 	5 	6 u	3 	: u	5 	: c	: 	: u	10 	13 	: u	8 	18 	5 u	5 
