Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,8011566,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8847037,..
"Population, total",SP.POP.TOTL,Belgium,BEL,9967379,10251250,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11422068,..
"Population, total",SP.POP.TOTL,Bulgaria,BGR,8718289,8170172,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7024216,..
"Population, total",SP.POP.TOTL,Croatia,HRV,4777368,4468302,4295427,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4089400,..
"Population, total",SP.POP.TOTL,Cyprus,CYP,766615,943290,1112612,1124833,1135046,1143866,1152285,1160985,1170187,1179680,1189265,..
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10333355,10255063,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10594438,10625695,..
"Population, total",SP.POP.TOTL,Denmark,DNK,5140939,5339616,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5797446,..
"Population, total",SP.POP.TOTL,Estonia,EST,1569174,1396985,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1320884,..
"Population, total",SP.POP.TOTL,France,FRA,58235697,60912500,65027507,65342780,65659809,65998687,66316100,66593366,66859768,66865144,66987244,..
"Population, total",SP.POP.TOTL,Germany,DEU,79433029,82211508,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82927922,..
"Population, total",SP.POP.TOTL,Greece,GRC,10196792,10805808,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10727668,..
"Population, total",SP.POP.TOTL,Hungary,HUN,10373988,10210971,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9768785,..
"Population, total",SP.POP.TOTL,Ireland,IRL,3513974,3805174,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4807388,4853506,..
"Population, total",SP.POP.TOTL,Italy,ITA,56719240,56942108,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60431283,..
"Population, total",SP.POP.TOTL,Latvia,LVA,2663151,2367550,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1942248,1926542,..
"Population, total",SP.POP.TOTL,Lithuania,LTU,3697838,3499536,3097282,3028115,2987773,2957689,2932367,2904910,2868231,2828403,2789533,..
"Population, total",SP.POP.TOTL,Netherlands,NLD,14951510,15925513,16615394,16693074,16754962,16804432,16865008,16939923,17030314,17131296,17231017,..
"Population, total",SP.POP.TOTL,Poland,POL,38110782,38258629,38042794,38063255,38063164,38040196,38011735,37986412,37970087,37974826,37978548,..
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5299187,5388720,5391428,5398384,5407579,5413393,5418649,5423801,5430798,5439232,5447011,..
"Population, total",SP.POP.TOTL,Slovenia,SVN,1998161,1988925,2048583,2052843,2057159,2059953,2061980,2063531,2065042,2066388,2067372,..
"Population, total",SP.POP.TOTL,Spain,ESP,38867322,40567864,46576897,46742697,46773055,46620045,46480882,46444832,46483569,46593236,46723749,..
"Population, total",SP.POP.TOTL,Sweden,SWE,8558835,8872109,9378126,9449213,9519374,9600379,9696110,9799186,9923085,10057698,10183175,..
"Population, total",SP.POP.TOTL,United Kingdom,GBR,57247586,58892514,62766365,63258918,63700300,64128226,64613160,65128861,65595565,66058859,66488991,..
"Population, total",SP.POP.TOTL,Finland,FIN,4986431,5176209,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5518050,..
"Population, total",SP.POP.TOTL,Luxembourg,LUX,381850,436300,506953,518347,530946,543360,556319,569604,582014,596336,607728,..
"Population, total",SP.POP.TOTL,Malta,MLT,354170,390087,414508,416268,420028,425967,434558,445053,455356,467999,483530,..
"Population, total",SP.POP.TOTL,Portugal,PRT,9983218,10289898,10573100,10557560,10514844,10457295,10401062,10358076,10325452,10300300,10281762,..
"Population, total",SP.POP.TOTL,Romania,ROU,23201835,22442971,20246871,20147528,20058035,19983693,19908979,19815481,19702332,19587491,19473936,..
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,110743128,108447824,104421447,104174038,103935318,103713726,103496179,103257751,102994343,102738854,102511922,..
"Population, total",SP.POP.TOTL,Euro area,EMU,311262588,321310791,336151479,335419643,336159194,337302113,338466255,339533474,340616924,341164362,341783171,..
"Population, total",SP.POP.TOTL,European Union,EUU,477725565,488221138,504298777,504005894,505096232,506597697,508193856,509717579,511218529,512191098,513213363,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 12/20/2019,,,,,,,,,,,,,,,
